plateID,x,y
2202017,525,515
2232017,518,525
3242017,560,538
3302017,550,550
4052017,685,583
4122017,562,555
4152017,565,559
4192017,584,557
4242017,529,553
5182017,520,555
5232017,526,557
5252017,523,557
5272017,530,555
5282017,528,556
5312017,527,555
6022017,525,558
6202017,533,554
7192017,525,560
7222017,526,555
7262017,528,562
7282017,527,561
8152017,530,550
8172017,570,540
8242017,523,573
8282017,530,560
8312017,533,559
9032017,525,560
9062017,530,564
9222017,530,561
9252017,529,544
9272017,528,561
10032017,534,556
10052017,530,560
10102017,520,560
10132017,530,569
10162017,521,527
10182017,526,543
10232017,520,560
10272017,528,559
10312017,529,558
11032017,528,566
11062017,526,546
11102017,534,560
11152017,528,560
12012017,530,557
5312018,540,536
6012018,522,536
6082018,566,538
6132018,550,533
6212018,593,530
6232018,595,530
6262018,662,545
,,
,,
,,
7252018,633,537
7272018,602,546
7292018,616,537
7312018,636,544
8022018,637,540
8062018,588,529
8082018,643,540
8102018,597,536
8132018,610,541
8152018,638,536
8172018,574,538
8202018,650,540
8222018,643,547
8242018,654,537
8262018,670,535
8282018,596,540
8302018,647,542
9022018,,
9042018,,
9052018,,
9072018,,
9162018,567,534
9262018,613,541
9282018,618,540
10032018,618,534
10052018,595,536
12292018,473,541
1032019,546,542
1052019,641,540
1072019,615,540
1112019,,
1142019,,
2012019,596,575
2082019,,
2162019,,
2182019,613,537
2212019,516,560
4152019,506,544
4232019,558,544
4242019,553,540
4252019,603,538
5072019,631,537
5292019,538,526
6022019,576,543
6052019,623,544
4282017,536,551
6152019,612,541
6162019,575,544
6192019,591,554
6242019,637,547
6262019,583,557
6282019,577,543
7112019,568,544
7192019,641,538
7222019,610,565
7252019,698,551
7282019,610,550
8012019,576,551
8112019,558,547
9112019,592,561
